,egg_pixels,filename
0,574,1.png
1,1132,10.png
2,1001,11.png
3,1381,12.png
4,805,13.png
5,918,14.png
6,660,15.png
7,1226,16.png
8,1394,17.png
9,640,18.png
10,1403,19.png
11,1081,2.png
12,1538,20.png
13,17,2016-lvp-tray1-a1.png
14,1212,2016-lvp-tray1-a2.png
15,1075,2016-lvp-tray1-a3.png
16,16,2016-lvp-tray1-a4.png
17,1855,2016-lvp-tray1-b1.png
18,2,2016-lvp-tray1-b2.png
19,25,2016-lvp-tray1-b3.png
20,1740,2016-lvp-tray1-b4.png
21,2333,20160825-1-g1.png
22,230,20160825-1-g2.png
23,1067,20160825-3-f4.png
24,27,20160825-3-g1.png
25,1548,20160825-3-g2.png
26,762,20160825-3-g3.png
27,311,20160825-3-g4.png
28,393,20161018-1a1.png
29,849,20161018-1a2.png
30,862,20161018-1a3.png
31,68,20161018-1a4.png
32,840,20161018-2g1.png
33,577,3.png
34,1237,4.png
35,1203,5.png
36,2220,6.png
37,1247,7.png
38,757,8.png
39,1334,9.png
